cpu_utilization,device_age_days,device_id,device_type,error_log_rate,failure_probability,firmware_version,historical_incidents,historical_outages,io_wait,maintenance_days_since,memory_pressure,network_latency,packet_loss_rate,power_cycle_count,reboot_count_7d,sla_breach_history,software_patch_age_days,temperature_anomaly_score,temperature_variance,timestamp,workload_intensity
0.97,2764,D3868,T005,32.3,0.62,6.0,9,5,0.54,102,0.98,128,0.098,23,2,4,244,0.16,0.43,3/3/25,0.78
0.78,1929,D4365,T010,3.1,0.68,3.5,2,9,0.15,270,0.82,284,0.114,10,6,1,269,0.83,0.43,1/4/26,0.73
0.24,580,D9998,T009,11.0,0.61,5.0,9,5,0.15,327,0.72,254,0.133,23,4,9,353,0.92,0.49,4/27/25,0.92
0.18,127,D8625,T008,15.1,0.33,5.1,14,4,0.65,133,0.7,143,0.021,22,0,5,127,0.18,0.12,11/10/24,0.45
0.69,114,D2848,T001,21.2,0.46,4.0,14,10,0.25,11,0.41,127,0.081,11,12,8,114,0.18,0.08,2/2/24,0.98
0.48,229,D9835,T012,48.2,0.48,3.5,4,10,0.45,146,0.73,205,0.009,29,11,10,241,0.54,0.45,5/16/24,0.47
0.62,2202,D2196,T011,33.6,0.47,6.0,1,8,0.4,212,0.18,21,0.121,26,9,7,67,0.51,0.0,2/16/24,0.51
0.71,1405,D8586,T004,9.2,0.46,5.2,4,4,0.85,356,0.6,133,0.052,9,15,6,268,0.05,0.43,2/29/24,0.47
0.55,2549,D3869,T003,49.3,0.67,5.1,7,4,0.3,344,0.36,221,0.11,1,7,2,295,0.82,0.28,10/3/25,0.84
0.83,944,D1924,T002,33.6,0.54,3.0,1,7,0.74,34,0.48,135,0.133,12,1,9,123,0.77,0.22,5/23/24,0.19
0.82,1341,D8639,T006,45.7,0.52,4.5,6,1,0.92,7,0.63,213,0.033,17,6,7,170,0.67,0.16,6/30/25,0.29
0.61,932,D2192,T005,26.8,0.53,4.5,14,5,0.27,169,0.97,36,0.02,21,6,1,130,0.56,0.3,7/11/24,0.68
0.96,1789,D8916,T009,0.5,0.61,3.0,7,1,0.06,70,0.57,201,0.011,20,14,2,3,0.84,0.33,11/6/25,0.86
0.24,2781,D9882,T008,23.0,0.56,6.0,15,10,0.14,350,0.4,96,0.125,17,11,7,281,0.38,0.24,10/19/25,0.4
0.68,2023,D7841,T007,2.3,0.55,6.0,11,5,0.02,163,0.38,84,0.132,17,7,6,50,0.36,0.47,10/29/24,0.92
0.68,965,D1256,T012,46.2,0.76,3.0,15,4,0.56,354,0.4,288,0.146,1,8,0,117,0.98,0.09,7/31/24,0.9
0.44,2901,D9189,T011,20.3,0.56,4.5,20,0,0.48,41,0.47,292,0.149,20,12,1,153,0.57,0.0,3/20/25,0.69
0.54,1274,D7502,T010,45.9,0.4,5.0,13,2,0.19,8,0.11,133,0.002,16,4,1,274,0.55,0.13,3/21/24,0.55
0.74,1397,D9395,T003,18.0,0.41,4.0,0,4,0.13,184,0.17,62,0.107,5,8,7,199,0.15,0.22,2/21/25,0.2
0.64,2697,D5839,T002,17.8,0.61,5.1,14,7,0.19,139,0.65,231,0.145,18,12,3,15,0.6,0.33,9/9/24,0.81
0.63,765,D2245,T001,16.6,0.55,3.5,12,10,0.5,288,0.78,50,0.06,11,4,8,153,0.71,0.03,12/14/24,0.32
0.49,2570,D7437,T006,48.4,0.61,5.0,10,2,0.97,355,0.84,261,0.089,25,9,6,164,0.65,0.12,1/8/25,0.28
0.49,2660,D8212,T005,6.8,0.47,5.0,6,7,0.33,253,0.48,212,0.012,19,0,1,126,0.48,0.19,12/8/24,0.63
0.19,150,D2036,T004,28.6,0.35,5.1,2,8,0.17,149,0.18,204,0.09,8,5,3,197,0.55,0.15,6/20/24,0.47
0.4,2224,D2406,T009,18.7,0.49,4.5,18,3,0.15,285,0.82,266,0.015,0,14,7,261,0.11,0.24,4/28/24,0.62
0.99,250,D7547,T008,45.7,0.64,5.2,17,9,0.66,184,0.53,137,0.076,11,3,10,278,0.4,0.08,2/9/26,0.73
0.2,958,D2211,T007,25.0,0.52,3.0,2,6,0.25,224,0.61,133,0.082,4,9,10,236,0.59,0.36,4/4/25,0.82
0.32,1759,D5560,T011,19.8,0.36,6.0,20,10,0.59,322,0.26,240,0.084,12,6,6,118,0.16,0.0,2/9/26,0.27
0.85,2078,D3692,T010,3.4,0.58,4.5,14,7,0.02,178,0.76,68,0.051,10,1,5,266,0.35,0.32,1/28/26,0.53
0.67,1283,D9109,T002,43.3,0.62,4.0,14,9,0.14,71,0.72,258,0.15,26,0,0,250,0.65,0.19,2/22/25,0.27
0.26,648,D4043,T001,18.7,0.51,3.5,9,1,0.39,160,0.71,271,0.138,19,4,2,344,0.8,0.07,5/13/25,0.21
0.73,1435,D8501,T012,26.4,0.62,4.0,8,10,0.61,100,0.82,208,0.12,18,10,7,187,0.58,0.06,9/24/25,0.51
0.29,2623,D9428,T005,17.5,0.57,5.2,6,0,0.17,71,0.76,285,0.129,22,8,9,84,0.69,0.15,11/26/25,0.81
0.8,2337,D2923,T004,14.9,0.63,3.0,3,10,0.26,111,0.84,240,0.123,27,1,3,225,0.37,0.41,8/30/24,0.99
0.72,226,D2871,T003,14.4,0.57,3.5,8,3,0.74,112,0.47,299,0.073,24,14,8,289,0.84,0.25,10/1/24,0.36
0.3,2341,D3588,T008,38.1,0.36,5.0,15,5,0.63,295,0.49,60,0.04,26,1,10,172,0.21,0.23,3/27/25,0.22
0.17,1611,D9756,T007,43.4,0.55,5.0,10,9,0.63,232,0.82,244,0.06,22,2,0,355,0.77,0.18,2/11/25,0.96
0.83,2786,D7146,T006,35.6,0.58,3.0,4,3,0.49,64,0.22,211,0.062,18,7,2,141,0.75,0.32,4/7/25,0.73
0.44,1667,D7745,T011,28.2,0.38,5.0,4,1,0.35,68,0.76,235,0.047,6,5,8,70,0.1,0.31,9/22/25,0.68
0.73,2053,D2160,T010,22.3,0.44,3.0,7,8,0.82,39,0.31,185,0.106,27,0,10,109,0.66,0.21,8/22/24,0.22
0.51,1336,D6005,T009,18.0,0.62,4.0,8,1,0.66,81,0.99,200,0.149,20,2,10,332,0.43,0.08,1/13/26,0.89
0.87,168,D7590,T002,46.1,0.55,6.0,8,3,0.29,300,0.61,269,0.102,22,12,0,37,0.37,0.25,3/25/24,0.16
0.89,2746,D3162,T001,5.6,0.6,5.2,7,7,0.53,27,0.28,46,0.028,0,15,6,151,0.61,0.49,1/31/25,0.81
0.72,1672,D1439,T012,13.8,0.51,3.5,10,2,0.55,179,0.87,137,0.015,19,2,3,301,0.09,0.36,11/5/25,0.97
0.91,2461,D2889,T005,2.8,0.57,5.0,14,8,0.16,321,0.4,198,0.079,24,5,5,364,0.43,0.05,8/21/24,0.17
0.93,151,D2934,T004,47.7,0.45,4.0,0,2,0.37,362,0.2,95,0.008,23,8,7,61,0.61,0.39,2/28/26,0.22
0.68,932,D5005,T003,38.2,0.42,3.5,12,9,0.7,79,0.58,168,0.013,23,2,10,261,0.15,0.48,3/29/24,0.58
0.43,126,D6038,T008,42.0,0.62,4.5,17,5,0.0,209,0.97,181,0.116,21,0,10,77,1.0,0.19,4/16/24,0.12
0.44,382,D4974,T007,27.7,0.55,3.0,9,5,0.2,238,0.55,198,0.027,18,0,1,205,0.9,0.39,4/20/25,0.88
0.77,1590,D2276,T006,40.2,0.56,3.0,5,0,0.32,196,0.1,124,0.002,13,13,8,241,0.86,0.46,8/8/25,0.93
0.52,1362,D5066,T011,40.4,0.51,4.5,3,1,0.22,237,0.47,30,0.145,27,9,2,231,0.54,0.16,12/30/24,0.34
0.63,1390,D3693,T010,13.6,0.42,5.0,10,5,0.14,201,0.16,113,0.02,24,2,7,133,0.66,0.29,4/5/25,0.73
0.28,1246,D7461,T009,35.0,0.54,4.0,7,8,0.97,47,0.98,244,0.144,2,11,6,364,0.42,0.29,3/17/24,0.14
0.44,189,D8096,T001,4.6,0.51,5.0,20,7,0.04,33,0.67,72,0.087,14,10,2,38,0.64,0.03,1/11/26,0.28
0.46,1756,D4246,T012,23.1,0.41,4.0,17,3,0.01,231,0.14,72,0.123,26,4,1,15,0.3,0.39,2/14/25,0.6
0.83,510,D4875,T004,38.2,0.51,4.5,8,8,0.35,126,0.52,208,0.088,26,7,0,81,0.36,0.5,8/29/25,0.69
0.22,1570,D5602,T003,25.1,0.47,3.0,15,5,0.18,245,0.28,148,0.079,10,12,9,195,0.88,0.3,2/29/24,0.59
0.46,1226,D5583,T002,31.0,0.35,4.5,4,0,0.5,143,0.13,161,0.026,28,7,9,95,0.68,0.28,1/27/25,0.5
0.22,1399,D1029,T007,11.2,0.49,6.0,17,9,0.31,89,0.24,203,0.119,22,5,5,332,0.95,0.15,12/19/25,0.74
0.4,343,D5944,T006,43.0,0.41,4.0,4,1,0.7,11,0.65,201,0.051,21,2,8,165,0.81,0.2,11/26/24,0.23
0.39,2408,D8831,T005,15.5,0.49,5.1,6,7,0.09,72,0.76,29,0.089,7,15,8,290,0.36,0.3,1/1/24,0.61
0.89,1948,D9962,T010,15.9,0.56,4.5,1,4,0.34,37,0.42,47,0.124,28,3,0,83,0.38,0.19,4/5/24,0.82
0.9,146,D7783,T009,39.4,0.47,5.1,2,5,0.39,135,0.18,34,0.096,23,0,4,228,0.71,0.21,5/19/25,0.29
0.95,2567,D3750,T008,28.3,0.85,3.0,19,3,0.33,162,0.45,82,0.145,2,15,10,93,0.99,0.12,10/13/25,0.93
0.31,1577,D8758,T012,30.0,0.45,4.0,9,10,0.03,1,0.14,59,0.126,5,6,10,27,0.57,0.32,4/28/24,0.48
0.4,775,D5612,T011,16.6,0.68,5.2,5,0,0.7,310,0.99,219,0.106,23,6,1,334,0.89,0.46,10/31/24,0.9
0.61,1939,D3422,T003,6.3,0.63,4.0,5,3,0.99,88,0.57,50,0.147,13,13,3,61,0.57,0.1,9/1/25,0.95
0.73,1031,D1568,T002,48.3,0.63,5.2,12,8,0.48,283,0.19,130,0.121,2,15,6,301,0.67,0.2,5/29/25,0.15
0.38,2328,D3476,T001,22.3,0.51,3.5,12,5,0.47,198,0.46,235,0.099,7,8,2,328,0.49,0.42,2/9/26,0.27
0.72,1483,D5414,T006,48.6,0.49,5.1,15,10,0.3,155,0.14,78,0.04,23,7,1,10,0.48,0.22,1/16/26,0.38
0.61,1181,D7484,T005,1.9,0.46,5.1,18,9,0.14,196,0.19,216,0.08,19,8,7,210,0.29,0.34,12/5/24,0.69
0.33,1727,D2641,T004,45.9,0.52,5.2,8,8,0.78,282,0.92,277,0.01,3,0,7,284,0.91,0.21,4/18/24,0.39
0.25,1683,D1145,T009,32.4,0.55,5.0,18,3,0.65,25,0.91,147,0.103,16,6,3,14,0.75,0.01,4/30/25,0.25
0.85,1608,D6730,T008,1.5,0.6,4.5,20,1,0.59,237,0.32,260,0.138,5,11,10,140,0.46,0.48,12/18/24,0.55
0.48,2215,D4158,T007,15.6,0.48,5.2,16,2,0.78,191,0.68,79,0.032,16,12,1,248,0.19,0.44,7/24/24,0.84
0.23,1409,D4111,T012,49.9,0.62,5.2,0,10,0.4,348,0.79,224,0.121,23,8,7,338,0.9,0.02,12/17/24,0.23
0.19,2751,D5895,T011,24.1,0.59,5.1,9,10,0.64,304,0.56,151,0.126,27,10,1,287,0.66,0.14,7/11/24,0.65
0.92,1351,D7506,T010,44.8,0.72,5.0,20,4,0.25,364,0.68,245,0.001,14,11,6,311,0.6,0.15,8/21/25,0.97
0.47,2432,D3762,T003,16.6,0.49,5.1,5,1,0.63,234,0.88,170,0.149,0,5,7,209,0.15,0.23,8/13/25,0.23
0.18,1167,D9680,T002,43.3,0.44,5.1,3,7,0.89,299,0.42,251,0.046,16,2,0,190,0.74,0.06,11/1/24,0.36
0.75,1329,D6499,T001,4.9,0.54,5.1,17,2,0.73,87,0.3,142,0.118,17,4,4,259,0.53,0.38,11/1/25,0.86
0.9,775,D5190,T006,36.7,0.6,5.1,7,2,0.37,206,1.0,73,0.135,20,5,3,96,0.34,0.4,2/28/26,0.12
0.71,628,D6535,T005,3.3,0.49,5.1,18,4,0.95,52,0.66,162,0.104,14,1,2,159,0.25,0.36,3/20/25,0.45
0.79,1858,D4122,T004,1.9,0.61,5.2,15,6,0.95,206,0.54,201,0.013,28,6,0,324,0.76,0.16,1/19/24,0.49
0.55,2851,D4787,T009,7.5,0.51,3.0,18,10,0.08,45,0.29,271,0.05,23,2,7,6,0.93,0.05,4/12/25,0.92
0.57,2630,D1645,T008,30.5,0.53,3.5,3,7,0.97,60,0.66,277,0.063,11,8,3,261,0.7,0.35,7/15/25,0.35
0.58,2925,D2654,T007,12.6,0.51,3.0,12,1,0.7,59,0.14,115,0.099,20,4,8,24,0.99,0.0,11/9/25,0.48
0.47,1655,D9598,T012,5.6,0.55,4.0,4,7,0.05,183,0.63,235,0.102,8,13,7,312,0.8,0.33,2/24/26,0.65
0.34,1739,D3611,T011,32.4,0.52,3.5,12,7,0.13,233,0.76,67,0.051,23,5,6,205,0.37,0.03,4/16/24,0.34
